대여소 그룹,팀명,대여소 명,대여 건수
송파구,학여울2팀,4885. 가든파이브 리빙관,417
마포구,상암1팀,410. 상암중학교 옆,417
구로구,천왕2팀,1979. 구로1동우체국 앞,418
노원구,도봉1팀,4043. 상계주공13단지 1301동,419
성동구,중랑2팀,3531. 논골사거리(금호도서관 입구),421
구로구,천왕1팀,2814.항동지구 10단지 1001동 앞,423
강북구,도봉4팀,1541. 삼양역,423
은평구,상암3팀,977.신도중학교앞,426
도봉구,도봉3팀,1728. 서울북부지방법원,427
강남구,학여울1팀,2354. 청담역 2번출구,429
강서구,개화1팀,1196. 서울식물원(문화센터) 건너편,430
강북구,도봉4팀,3714. 송천센트레빌,430
영등포구,영남3팀,4580. 국회3문,431
금천구,천왕2팀,1850. 코오롱테크노밸리,431
강남구,학여울1팀,2304. 대현그린타워,433
강서구,개화2팀,3766. 강서문화센터,436
서대문구,상암1팀,3114.충정로역 3번 출구,437
은평구,상암3팀,994.북한산생태공원입구(교통섬),438
성북구,훈련원2팀,1314. 정릉꿈에그린1단지 201동 앞,438
영등포구,영남3팀,4582. 국회도서관,439
강동구,천호1팀,1038. 강일 다솜 어린이 공원,439
서대문구,상암2팀,3109.북한산더? 106동 앞,440
서초구,이수3팀,4312. 반포미도2차아파트 옆,440
강동구,천호1팀,1054. 말우물 어린이 공원,441
은평구,상암2팀,934. 신사동 성당,441
동대문구,훈련원4팀,616. 서울시립대 앞,441
강남구,학여울1팀,3646. 선정릉역 4번 출구,444
서초구,이수3팀,2235.KT 서초지사 앞,446
강남구,학여울1팀,2368. 도곡동 경남아파트 건너편,446
종로구,세종로1팀,3426.독립문역 2번출구 뒤,449
용산구,세종로3팀,858.녹사평역3번 출구,452
강남구,학여울2팀,3637. 세곡데이케어센터,453
강남구,학여울1팀,2427.개포고등학교 정문앞,453
마포구,상암1팀,422. 문화비축기지,454
성동구,중랑2팀,3561.행당동 삼부APT후문,455
동대문구,훈련원4팀,608. 전농삼성아파트,455
은평구,상암3팀,959. 구파발10단지 인근,459
강서구,개화2팀,1181. 농수산식품공사 (강서지사),459
